file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)
Four-12.12-4.R1.fq.gz	FASTQ	DNA	42551654	6382748100	150	150.0	150	150.0	150.0	150.0	0	150	1	97.87	94.62	26.96	46.88
Four-12.12-4.R2.fq.gz	FASTQ	DNA	42551654	6382748100	150	150.0	150	150.0	150.0	150.0	0	150	1	97.90	94.91	27.16	48.71
One-11.9-4.R1.fq.gz	FASTQ	DNA	42759264	6413889600	150	150.0	150	150.0	150.0	150.0	0	150	1	99.07	97.24	29.14	50.40
One-11.9-4.R2.fq.gz	FASTQ	DNA	42759264	6413889600	150	150.0	150	150.0	150.0	150.0	0	150	1	98.62	96.58	28.39	50.75
Three-11.9-4.R1.fq.gz	FASTQ	DNA	45192304	6778845600	150	150.0	150	150.0	150.0	150.0	0	150	1	98.27	95.43	27.55	51.31
Three-11.9-4.R2.fq.gz	FASTQ	DNA	45192304	6778845600	150	150.0	150	150.0	150.0	150.0	0	150	1	97.28	93.93	26.32	53.48
Two-11.9-4.R1.fq.gz	FASTQ	DNA	35671673	5350750950	150	150.0	150	150.0	150.0	150.0	0	150	1	98.90	96.75	28.72	41.88
Two-11.9-4.R2.fq.gz	FASTQ	DNA	35671673	5350750950	150	150.0	150	150.0	150.0	150.0	0	150	1	97.85	94.61	27.04	43.14
